Id,Slug,Title,Subtitle,HostSegmentTitle,ForumId,OrganizationId,CompetitionTypeId,EnabledDate,DeadlineDate,ProhibitNewEntrantsDeadlineDate,TeamMergerDeadlineDate,TeamModelDeadlineDate,ModelSubmissionDeadlineDate,FinalLeaderboardHasBeenVerified,HasKernels,OnlyAllowKernelSubmissions,HasLeaderboard,LeaderboardPercentage,LeaderboardDisplayFormat,EvaluationAlgorithmAbbreviation,EvaluationAlgorithmName,EvaluationAlgorithmDescription,EvaluationAlgorithmIsMax,MaxDailySubmissions,NumScoredSubmissions,MaxTeamSize,BanTeamMergers,EnableTeamModels,RewardType,RewardQuantity,NumPrizes,UserRankMultiplier,CanQualifyTiers,TotalTeams,TotalCompetitors,TotalSubmissions,ValidationSetName,ValidationSetValue,EnableSubmissionModelHashes,EnableSubmissionModelAttachments,HostName
10418,human-protein-atlas-image-classification,Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells,Featured,68207.0,1861.0,1,10/03/2018 21:06:32,01/10/2019 23:59:00,01/03/2019 23:59:00,01/03/2019 23:59:00,02/02/2019 23:59:00,,True,True,False,True,29,0.0,FScoreMacro,F-Score (Macro),Macro F-Score,True,5,2,8,False,True,USD,37000.0,4,1.0,True,2160,2679,54934,,,False,False,
11433,xray-lung-segmentation,XRay Lung Segmentation,Сегментация легких на рентгенологических изображениях,Community,81118.0,,1,11/01/2018 16:40:38,12/07/2018 23:59:00,,,,,True,True,False,True,33,0.0,Dice,,Mean Dice Coefficient,True,5,2,20,False,False,,0.0,1,0.0,False,16,16,186,,,False,False,
14502,cornell-ece4250-finalproject,ECE4250 Project : Spring 2019,Automatic segmentation of brain MRI,Community,199455.0,,1,05/09/2019 19:20:51,05/16/2019 03:59:00,,,,,True,True,False,True,100,0.0,Dice,,Mean Dice Coefficient,True,15,2,20,False,False,,,1,0.0,False,53,53,569,,,False,False,
20604,osic-pulmonary-fibrosis-progression,OSIC Pulmonary Fibrosis Progression,Predict lung function decline,Featured,777005.0,3745.0,1,07/07/2020 17:00:16,10/06/2020 23:59:00,09/29/2020 23:59:00,09/29/2020 23:59:00,10/30/2020 00:00:00,,True,True,True,True,1,0.0,LaplaceLogLikelihood,Laplace Log Likelihood,"Laplace Log Likelihood. Metric values are negative, where a less negative value is better.",True,5,2,5,False,True,USD,55000.0,3,1.0,True,2097,2530,44505,,,False,False,
22990,hubmap-kidney-segmentation,HuBMAP - Hacking the Kidney,Identify glomeruli in human kidney tissue images,Research,995088.0,3760.0,1,11/16/2020 22:11:08,05/10/2021 23:59:00,05/03/2021 23:59:00,05/03/2021 23:59:00,06/30/2021 00:00:00,,True,True,True,True,33,0.0,Dice,,Mean Dice Coefficient,True,5,2,5,False,True,USD,60000.0,3,1.0,True,1200,1625,34699,,,False,False,
23823,hpa-single-cell-image-classification,Human Protein Atlas - Single Cell Classification,Find individual human cell differences in microscope images,Featured,1138531.0,1861.0,1,01/26/2021 23:56:29,05/11/2021 23:59:00,05/04/2021 23:59:00,05/04/2021 23:59:00,06/30/2021 00:00:00,,True,True,True,True,31,0.0,OpenImagesObjDetectionSegmentationAP,OpenImagesObjDetectionSegmentationAP,OpenImagesObjDetectionSegmentationAP,True,5,2,5,False,True,USD,25000.0,3,1.0,True,757,991,19058,,,False,False,
27177,d012554-2021,D012554 - 2021,Classify the health of a fetus using CTG data,Community,1283242.0,,1,04/11/2021 14:05:45,05/09/2021 23:59:00,,,,,True,True,False,True,100,0.0,AUC,Area Under Receiver Operating Characteristic Curve,"Measures discrimination. Calculates how well an algorithm separates true positives from false positives. Overall good metric for classification problems. Has range [0.5, 1.0]",True,10,2,1,True,False,,,1,0.0,False,1,1,6,,,False,False,
27290,2021bmi707-assignment-2-q5,BMI707/EPI290 Assignment 2 Q5,Diagnose Lung Diseases by Deep Learning,Community,1293214.0,,1,04/16/2021 03:27:43,05/02/2021 23:59:00,,,,,True,True,False,True,50,0.0,CategorizationAccuracy,Categorization Accuracy,Percentage of correctly categorized items,True,10,2,1,True,False,,,1,0.0,False,41,41,123,,,False,False,
29653,rsna-miccai-brain-tumor-radiogenomic-classification,RSNA-MICCAI Brain Tumor Radiogenomic Classification,Predict the status of a genetic biomarker important for brain cancer treatment,Featured,1485708.0,1817.0,1,07/13/2021 22:39:36,10/15/2021 23:59:00,10/08/2021 23:59:00,10/08/2021 23:59:00,11/30/2021 00:00:00,,True,True,True,True,22,0.0,AUC,Area Under Receiver Operating Characteristic Curve,"Measures discrimination. Calculates how well an algorithm separates true positives from false positives. Overall good metric for classification problems. Has range [0.5, 1.0]",True,5,2,5,False,True,USD,30000.0,8,1.0,True,1555,1958,27466,,,False,False,
34547,hubmap-organ-segmentation,HuBMAP + HPA - Hacking the Human Body,Segment multi-organ functional tissue units,Research,1960467.0,3808.0,1,06/22/2022 18:34:11,09/22/2022 23:59:00,09/15/2022 23:59:00,09/15/2022 23:59:00,10/12/2022 00:00:00,,True,True,True,True,55,0.0,Dice,,Mean Dice Coefficient,True,5,2,5,False,True,USD,60000.0,3,1.0,True,1175,1517,39568,,,False,False,
