UserId,UserName,DisplayName,RegisterDate,PerformanceTier,Team_Id,CompetitionId,TeamLeaderId,PublicLeaderboardRank,tier_name,isLeader
54836,titericz,Giba,08/23/2012,4,6145769,22990,698363,1.0,grandmaster,False
71783,sergeifironov,Sergei Fironov,11/30/2012,4,2274438,10418,837103,4.0,grandmaster,False
111220,kevinhwang,Kevin Hwang,06/20/2013,3,2261835,10418,417337,3.0,master,False
113660,hengck23,‎‎‎‎‎‎‎‎,07/11/2013,4,8806840,34547,113660,7.0,grandmaster,True
207760,igorkrashenyi,Igor Krashenyi,06/12/2014,3,5843694,22990,207760,10.0,master,True
207760,igorkrashenyi,Igor Krashenyi,06/12/2014,3,8893081,34547,1690820,3.0,master,False
269744,liaksiejka,Aliaksei Charnevich,12/09/2014,1,2324816,11433,269744,1.0,contributor,True
317344,onodera,ONODERA,03/24/2015,4,7238845,29653,317344,1.0,grandmaster,True
349155,sakvaua,DennisSakva,05/08/2015,3,5843694,22990,207760,10.0,master,False
349155,sakvaua,DennisSakva,05/08/2015,3,8893081,34547,1690820,3.0,master,False
393246,sasrdw,Russ Wolfinger,07/30/2015,4,2261835,10418,417337,3.0,grandmaster,False
408648,zaburo,KaizaburoChubachi,08/30/2015,4,6220611,23823,408648,4.0,grandmaster,True
417337,tunguz,Bojan Tunguz,09/11/2015,4,2261835,10418,417337,3.0,grandmaster,True
461723,zfturbo,ZFTurbo,11/08/2015,4,6331053,23823,698363,3.0,grandmaster,False
474194,rafiko1,Rafi Hai,11/25/2015,3,5228026,20604,474194,5.0,master,True
478989,wowfattie,Guanshuo Xu,12/02/2015,4,2188629,10418,478989,9.0,grandmaster,True
486218,hadxu123,hadxu,12/13/2015,3,2247423,10418,710784,10.0,master,False
494641,narsil,narsil,12/28/2015,4,6259172,23823,494641,1.0,grandmaster,True
499821,kevin0912,kevin:),01/07/2016,2,8900145,34547,499821,9.0,expert,True
518134,corochann,corochann,02/01/2016,4,6220611,23823,408648,4.0,grandmaster,False
518185,victorsd,Victor Durnov,02/01/2016,4,8807737,34547,518185,1.0,grandmaster,True
520183,yoichi7yamakawa,Yiemon773,02/03/2016,3,6220611,23823,408648,4.0,master,False
520434,grag2015,Ryhor Mikhalap,02/03/2016,1,2325512,11433,520434,4.0,contributor,True
528105,anniesun,YuqingSun,02/13/2016,0,3160849,14502,528105,10.0,novice,True
548996,its7171,tito,03/06/2016,4,6259172,23823,494641,1.0,grandmaster,False
557981,yukimiyazaki,Yuki Miyazaki,03/15/2016,1,7520936,29653,557981,3.0,contributor,True
577759,lingyundev,lingyundev,04/06/2016,3,2494023,10418,577759,5.0,master,True
585404,amareelez,Dmitriy Baranov,04/13/2016,1,2324925,11433,585404,8.0,contributor,True
651378,adityakumarsinha,InnerVoice,06/29/2016,3,8946442,34547,8171978,8.0,master,False
676963,dimarik,DmitryBuslov,08/01/2016,2,2274438,10418,837103,4.0,expert,False
683771,notimplemented,Касперович (ШАД-Минск),08/10/2016,0,2484607,11433,683771,9.0,novice,True
698363,mpware,MPWARE,08/28/2016,4,6145769,22990,698363,1.0,grandmaster,True
698363,mpware,MPWARE,08/28/2016,4,6331053,23823,698363,3.0,grandmaster,True
708283,bestfitting,bestfitting,09/07/2016,4,2238150,10418,708283,1.0,grandmaster,True
708283,bestfitting,bestfitting,09/07/2016,4,6211473,23823,708283,5.0,grandmaster,True
710784,shisususu,shisu,09/10/2016,2,2247423,10418,710784,10.0,expert,True
737544,den3b81,den3b,10/03/2016,3,2271196,10418,862519,7.0,master,False
743064,dmytropoplavskiy,Dmytro Poplavskiy,10/07/2016,4,2261835,10418,417337,3.0,grandmaster,False
772323,dempton,Konstantin Gavrilchik,10/30/2016,4,2185832,10418,772323,8.0,grandmaster,True
773885,lenny27,Evgenii Kononenko,10/31/2016,3,2185832,10418,772323,8.0,master,False
775831,shlyapnik,Anton Seagull Novikau,11/02/2016,1,2363387,11433,775831,5.0,contributor,True
795565,sgalib,Shai,11/16/2016,4,2261835,10418,417337,3.0,grandmaster,False
